;Type;Class;Width;Height;Surface m2;BottomLeft;TopLeft;TopRight;BottomRight
155;window;Xs;2.783;2.291;6.374.656.320.842.370;[ 1.8389621  21.29807815 10.66547851];[ 1.81592812 21.27483018 12.95613385];[ 3.79260852 19.31634453 12.95613385];[ 3.8156425  19.3395925  10.66547851]
156;window;R;1.677;1.339;2.245.648.824.549.060;[ 2.09653847 21.03056657 14.27311066];[ 2.08383559 21.01765885 15.61229847];[ 3.27890043 19.84155881 15.61229847];[ 3.29160331 19.85446653 14.27311066]
157;window;R;1.677;1.328;22.268.727.849.280.600;[12.47187036 10.70772504 14.1536537 ];[12.45962333 10.69536159 15.48117056];[13.65127094  9.51493543 15.48117056];[13.66351797  9.52729888 14.1536537 ]
158;window;R;1.676;1.322;2.215.378.793.559.910;[ 3.98049411 19.17776467 14.26140218];[ 3.96896347 19.16633312 15.58320378];[ 5.14888176 17.97618828 15.58320378];[ 5.1604124  17.98761983 14.26140218]
159;window;Xs;2.983;2.300;6.860.115.780.470.070;[ 5.92393076 17.18692424 10.60955588];[ 5.90509291 17.16756349 12.90892266];[ 8.04326266 15.08714112 12.90892266];[ 8.06210051 15.10650186 10.60955588]
160;window;Rs;1.675;1.327;2.222.646.330.529.970;[ 6.34614443 16.8170804  14.22666009];[ 6.3361688  16.80701384 15.55341335];[ 7.52604518 15.62788536 15.55341335];[ 7.53602082 15.63795192 14.22666009]
161;window;R;1.675;1.328;22.247.312.954.151.500;[ 8.21857336 14.95561548 14.20414695];[ 8.20539206 14.94231226 15.53203775];[ 9.39539222 13.76321778 15.53203775];[ 9.40857353 13.776521   14.20414695]
162;window;R;1.677;1.336;2.241.623.128.627.280;[10.60003125 12.57803694 14.17056162];[10.58790289 12.5658489  15.50688935];[11.7768486  11.38272537 15.50688935];[11.78897695 11.39491341 14.17056162]
163;window;Xs;2.785;2.274;6.335.280.061.509.960;[10.3530587  12.82683806 10.60163043];[10.32353133 12.79682864 12.87572071];[12.30897091 10.84328193 12.87572071];[12.33849828 10.87329135 10.60163043]
164;window;O;1.124;0.617;0.6930888350669416;[ 8.38729289 27.25630542 15.0107426 ];[ 8.39628685 27.26519264 15.62736803];[ 9.18615208 26.46583998 15.62736803];[ 9.17715812 26.45695277 15.0107426 ]
165;window;T;2.242;1.707;38.262.220.845.584.000;[ 9.79051039 25.80543841 11.21201433];[ 9.80264801 25.81762361 12.91880357];[11.39083348 24.23564023 12.91880357];[11.37869587 24.22345504 11.21201433]
166;window;Rs;1.684;1.326;2.232.327.850.367.200;[ 9.93615199 25.6809741  14.28640105];[ 9.94897293 25.69387352 15.61204731];[11.14322356 24.50688817 15.61204731];[11.13040262 24.49398875 14.28640105]
167;window;O;1.123;0.607;0.6814654956318974;[12.63686402 23.02439389 14.9712196 ];[12.64422682 23.03186333 15.57818988];[13.44368729 22.24381777 15.57818988];[13.4363245  22.23634833 14.9712196 ]
168;window;T;2.236;1.717;3.839.242.935.221.270;[14.04404827 21.5663551  11.14286765];[14.05365568 21.57607001 12.85968119];[15.64365313 20.00366609 12.85968119];[15.63404572 19.99395118 11.14286765]
169;window;Rs;1.672;1.338;22.373.323.172.649.000;[14.19239578 21.44924618 14.23927567];[14.21924334 21.47584179 15.57705513];[15.39576688 20.28817228 15.57705513];[15.36891932 20.26157667 14.23927567]
170;window;O;1.120;0.607;0.6798262580038668;[16.89930105 18.78882334 14.91494841];[16.904547   18.79402501 15.52181227];[17.69324616 17.99861327 15.52181227];[17.68800021 17.99341159 14.91494841]
171;window;U;2.227;1.884;4.196.380.855.970.340;[18.31250791 17.3341589  10.9249289 ];[18.31455313 17.3361865  12.80894736];[19.88270106 15.75440977 12.80894736];[19.88065584 15.75238217 10.9249289 ]
